3Think;Россия, Москва;+7 (910) 4504846;www.3think-ic.com;elena@3think.com.cn;Основное внимание уделяется микросхемам шифрования безопасности, микросхемам аутентификации, высоконадежным микроконтроллерам безопасности и специализированным микросхемам SOC.;3Think
4ТЕСТ;125315, Россия, Москва, ул. Усиевича дом 23;+7 (499) 6854444;4test.ru;info@4test.ru;"4ТЕСТ - один из ведущих поставщиков контрольно-измерительного, спутникового  и акустического  оборудования ведущих мировых и российских производителей. Поставщик решений для проведения испытаний на электромагнитную совместимость.
Крупнейший поставщик по поставке и аренде оборудования бывшего в эксплуатации.";-
9А Электроник;115172, Россия, Москва, ул. Кусковская 20А оф 711Д;+7 (903) 7954989;https://www.9aic.ru/;sales2@9aic.ru;"Мы предлагаем полупроводники, интегральные схемы, микросхемы, диоды и транзисторы, резисторы и конденсаторы, светодиодные трубки, фотоэлектрические пары, разъемы и соединители, коммутационные гнезда, датчики и другие электронные компоненты, которые поставляются с оригинального завода и агентов. при минимальном заказе от 1 штуки, а качество гарантировано!

Наша компания 9A Электроник  — придерживается корпоративной культуры «счастье, трудолюбие и совместное создание богатства», а также корпоративной культуры «качество превыше всего, клиент на первом месте, честность и обслуживание превыше всего» с 20 летним опытом работы в сфере электронных компонентов.

Наши преимущества:

· Гарантия 1 год

· Возможность возврата

· Офис в Москве

· Скидки постоянным клиентам";-
ACE ELECTRONIС (HK）CO., LIMITED;Китай, GUANGDONG, E2 UNIT, 22/F KINGSWAY INDUSTRIAL BUILDING PHASE II, 167-175 WO YI HOP ROAD, KWAI CHUNG, NT, HK;"+86 (852) 26387801; +86 (852) 13432788291";-;sales@ace-chip.com;-;-
Aceray Precision Technology(Shenzhen)Co.,Ltd.;Китай, Shenzhen, Building 9,No.54 Luotian Huafeng Science and Technology Park,Guangtian Road,Bo'an District;+86 (0755) 15018528803;www.aceraytech.com;info@aceraytech.com;-;-
Agreat International Co., Limited;Китай, HongKong, Location:Room 712,7th Floor,Hengsha Business Building Room 701,No.388 Jinshazhou Road,Baiyun District,Guangzhou;+00 (852) 30756673;www.agreat-tech.com;info@agreat-tech.com;-;-
Aip Chip (HK) Co., Limited;Гонконг, специальный административный район Китая;+86 (0755) 83149491;www.aipchip.com;beebee@;-;-
AI-TEX limited;999077, Китай, Гонконг, B108 1/F, NEW EAST SUN INDUSTRIAL BUILDING,18 SHINGYIP STREET,KWUN TONG,KOWLOON HONG KONG;+86 (0) 18504516952;www.ai-tex.net;info@ai-tex.net;-;-
Ai-Thinker Co., Ltd.;518126, Китай, Shenzhen, Room 410, Building C, Huafeng Intelligence Innovation Port, Gushu, Xixiang, Baoan District;"+86 (0755) 29162996; +86 () 15989589908";www.ai-thinker.com;overseas@aithinker.com;Ai-Thinker фокусируется на модулях IoT, антеннах, тестировании RF, облаке и обслуживании PCBA, чтобы предоставить клиентам комплексное решение. Основные продукты включают WiFi, LoRa/LoRaWAN, Bluetooth, радар, оборудование с открытым исходным кодом AI-Thinker, автономное распознавание голоса, UWB, GPS, модули 2.4G и многое другое. Наши продукты получили такие сертификаты, как FCC, CE, IC, SRRC, ROHS, REACH, и обслуживаются в более чем 100 странах и регионах.;Ai-Thinker
AL TRANSFO TECHNOLOGY LIMITED;230088, Китай, Хэфэй, 16th Hehuan Road;+86 (551) 65587878;www.altransfo.com;info@altransfo.com;AL TRANSFO - китайская фабрика с 30-летним опытом проектирования и производства широкого спектра трансформаторов, включая трансформаторы 50/60 Гц,инкапсулированные трансформаторы,тороидальные трансформаторы,высокочастотные трансформаторы,SMPS-трансформаторы,трансформаторы тока с твердым и разделенным сердечником,катушки индуктивности,синфазные дроссели и различные катушки. Эти магнитные детали используются в зарядке электромобилей,освещении,системах кондиционирования,чиллерах,аудио- и видеотехнике,бытовой электронике,автоматизации и телекоммуникациях.Все наши продукты могут быть изготовлены по индивидуальному заказу и сертифицированы UL,RoHS и CE. Мы находимся в небольшом городе Китая,где стоимость рабочей силы низкая,что позволяет нам предлагать очень конкурентоспособные цены;АЛ ТРАНСФО
Alborz Semiconductor;Ближний Восток;+98 (912) 6907602;www.semiconductor.ir;amirabad@mail.ru;-;-
ALECTRONIC COMPONENTS., LIMITED;999077, Гонконг, специальный административный район Китая, Гонконг, Room I-1, 4/F, Block 2 Golden Dragon Industrial Centre,162-170 Tai Lin Pai Road,Kwai Chung, N.T.;+852 (0) 51090600;/;Frank.pershin2011@hotmail.com;"Alectronic Components., Limited — профессиональный поставщик электронных компонентов, предлагающий высококачественные полупроводники, интегральные схемы, датчики и другие компоненты. Мы ориентируемся на стабильные поставки, быструю доставку и превосходное обслуживание для удовлетворения разнообразных потребностей клиентов и поддержки развития клиентов в электронной промышленности. Наша продукция охватывает широкий спектр известных брендов, включая Xilinx, Altera, Renesas, TI, Microchip, NXP, ADI, Vishay, ON, Broadcom, Yageo, Micron, Infineon и другие. Они широко используются в области связи, автомобильной, промышленной и бытовой электроники.
Alectronic Components., Limited — profes";ALECTRONIC COMPONENTS., LIMITED
ALLCHIPS ELECTRONICS LIMITED;518028, Китай, Шэньчжэнь, Futian SEG4068, Shenzhen, Guangdong Province;+86 (0755) 83539394;www.hk-allchips.com;ALLCHIPS@HK-ALLCHIPS.COM;Компания ALLCHIPS Electronics Limited, основанная в 2010 году, является дистрибьютором чипов, специализирующимся на аэрокосмической промышленности, промышленности, радиочастотах, IGBT, FPGA, высокотехнологичных чипах и специализированных чипах. Наши дистрибьюторские бренды включают: MACOM, MINI, HOLT, Altera, XILINX, ADI, LINE, TI, ON, CRRC, VISHAY, INFINEON и другие. Наши каналы поступают из заводских запасов, агентского сотрудничества и поставок по всему миру.;ALLCHIPS
