https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=187902&exhibitor_id=92569&visitor_id=;    - контроллер;    01.04. Печатные платы;    Shenzhen BGABOARD Co., Ltd;    B2179;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183385&exhibitor_id=90731&visitor_id=;    - тиристор.;    01.01. Полупроводниковые компоненты и модули;    Shenzhen Fengdeli Electronics Ltd.;    B1111;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=189034&exhibitor_id=75273&visitor_id=;    (Новая разработка!) Бюджетный защищённый ноутбук TS Strong@Start 7700 15,6″;    03.10. Встраиваемые защищенные ноутбуки, планшеты;    ТС-СКН, АО;    B6041;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=189035&exhibitor_id=75273&visitor_id=;    (Новая разработка!) Бюджетный защищённый промышленный планшетный компьютер МТ-1200 «Гранат» 8,0”;    03.10. Встраиваемые защищенные ноутбуки, планшеты;    ТС-СКН, АО;    B6041;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186470&exhibitor_id=90727&visitor_id=;    “Радиочастотные трансиверы и устройства АЦП/ЦАП;    01.01. Полупроводниковые компоненты и модули;    Hangzhou Shanghang Communication Equipment Co. Ltd;    C1067;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183021&exhibitor_id=77732&visitor_id=;    «Аккумуляторы и батареи»;    01.07.02. Батареи и аккумуляторы;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183019&exhibitor_id=77732&visitor_id=;    «Аналоговые микросхемы»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183025&exhibitor_id=77732&visitor_id=;    «Дискретные компоненты»;    01.01.06. Дискретные полупроводниковые компоненты;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183023&exhibitor_id=77732&visitor_id=;    «Драйверы управления силовыми модулями»;    01.07.05. Драйверы;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183030&exhibitor_id=77732&visitor_id=;    «Индуктивности»;    01.02.04. Катушки индуктивности (дроссели) и ферромагнитные компоненты, трансформаторы;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183020&exhibitor_id=77732&visitor_id=;    «Кварцы»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183029&exhibitor_id=77732&visitor_id=;    «Конденсаторы»;    01.02.01. Конденсаторы;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183026&exhibitor_id=77732&visitor_id=;    «Контроллеры»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183024&exhibitor_id=77732&visitor_id=;    «Память»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183027&exhibitor_id=77732&visitor_id=;    «ПЛИС»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183017&exhibitor_id=77732&visitor_id=;    «Силовые транзисторы и модули»;    01.07. Силовая электроника;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183022&exhibitor_id=77732&visitor_id=;    «Соединители и разъемы»;    01.03.04. Соединители и разъемы;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183028&exhibitor_id=77732&visitor_id=;    «Стандартные компоненты на плату»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=189021&exhibitor_id=75273&visitor_id=;    «Тонкий» защищённый промышленный ноутбук TS STRONG@MASTER 7020T® в конструктиве 7020С («Топаз») 13,3”;    03.10. Встраиваемые защищенные ноутбуки, планшеты;    ТС-СКН, АО;    B6041;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183018&exhibitor_id=77732&visitor_id=;    «Управление питанием»;    01. Электронные компоненты, модули и комплектующие;    Матрикс Электроника;    B5083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=188108&exhibitor_id=91544&visitor_id=;    1 слой и 2 слоя печатной платы;    01.04.02. Односторонние / двусторонние печатные платы;    Shenzhen Yuan Electronics Co., Ltd;    B5165;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=183383&exhibitor_id=90731&visitor_id=;    1. Транзисторы;    01.01.07. Оптоэлектронные полупроводниковые приборы, фотоника;    Shenzhen Fengdeli Electronics Ltd.;    B1111;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186402&exhibitor_id=84467&visitor_id=;    10 layers Rigid-Flex board;    01.04.03. Гибкие и керамические печатные платы;    Shenzhen Giant Change Circuits Co., Ltd;    C4155;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186246&exhibitor_id=56268&visitor_id=;    14-ти разрядный АЦП 5112НВ035;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186247&exhibitor_id=56268&visitor_id=;    14-ти разрядный АЦП 5400ТР015-005;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186282&exhibitor_id=56268&visitor_id=;    16-ти разрядный R-2R ЦАП 5400ТР045А-022;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=188575&exhibitor_id=55377&visitor_id=;    18650;    1.8.2. Батареи и аккумуляторы;    Bonrex Technology Co.,Ltd;    B1059;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186280&exhibitor_id=56268&visitor_id=;    18-ти разрядный АЦП 5400ТР045А-049;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=185484&exhibitor_id=84586&visitor_id=;    19-дюймовые блочные каркасы;    01.03.02. Корпуса и компоненты корпусов;    Huizhou LinTai Industrial Co.,LTD;    B2073;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=184816&exhibitor_id=86180&visitor_id=;    24 портовый коммутатор ЕС8433;    04.04.08. Машинное обучение;    НИЦЭВТ;    B5033;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186301&exhibitor_id=56268&visitor_id=;    2-канальный 4-разрядный двунаправленный транслятор цифровых уровней 5400ТР045А-038;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186243&exhibitor_id=56268&visitor_id=;    2-х канальный 12-ти разрядный АЦП 5400ТР045А-001;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186258&exhibitor_id=56268&visitor_id=;    2-х канальный 12-ти разрядный ЦАП 5400ТР045А-002;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186281&exhibitor_id=56268&visitor_id=;    2-х канальный 24-х разрядный дельта-сигма АЦП 5400ТР045А-025;    01.01.02. Специализированные и заказные ИС / ASSP/ASIC;    СОЮЗ,  ДИЗАЙН ЦЕНТР, АО;    B4083;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=185432&exhibitor_id=90934&visitor_id=;    3.5-2r аудиокабель;    05.07.05. Видео-и аудио, фото- техника;    Changzhou DAWN LINK CO.，LTD;    A4023;
https://catalogue.ite-expo.ru/ru-RU/productcatalog/product_view.aspx?project_id=536&product_id=186209&exhibitor_id=82262&visitor_id=;    32-битный микроконтроллер;    01.01.01. Стандартные микросхемы;    KEEN SIDE (ООО «СЭлКом»);    B1119;
